DEBUG    | 2026-04-06 01:37:23,212 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429773,"pa...r_index":0,"cars":[]}}}' [6162 bytes]
DEBUG    | 2026-04-06 01:37:23,231 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429774,"pa...r_index":0,"cars":[]}}}' [6166 bytes]
DEBUG    | 2026-04-06 01:37:23,250 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429775,"pa...r_index":0,"cars":[]}}}' [6165 bytes]
DEBUG    | 2026-04-06 01:37:23,270 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429776,"pa...r_index":0,"cars":[]}}}' [6160 bytes]
DEBUG    | 2026-04-06 01:37:23,291 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429777,"pa...r_index":0,"cars":[]}}}' [6171 bytes]
DEBUG    | 2026-04-06 01:37:23,311 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429778,"pa...r_index":0,"cars":[]}}}' [6162 bytes]
DEBUG    | 2026-04-06 01:37:23,331 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429779,"pa...r_index":0,"cars":[]}}}' [6161 bytes]
DEBUG    | 2026-04-06 01:37:23,350 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429780,"pa...r_index":0,"cars":[]}}}' [6172 bytes]
DEBUG    | 2026-04-06 01:37:23,370 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429781,"pa...r_index":0,"cars":[]}}}' [6157 bytes]
DEBUG    | 2026-04-06 01:37:23,388 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429782,"pa...r_index":0,"cars":[]}}}' [6168 bytes]
DEBUG    | 2026-04-06 01:37:23,407 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429783,"pa...r_index":0,"cars":[]}}}' [6157 bytes]
DEBUG    | 2026-04-06 01:37:23,427 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429784,"pa...r_index":0,"cars":[]}}}' [6143 bytes]
DEBUG    | 2026-04-06 01:37:23,446 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429785,"pa...r_index":0,"cars":[]}}}' [6160 bytes]
DEBUG    | 2026-04-06 01:37:23,465 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429786,"pa...r_index":0,"cars":[]}}}' [6166 bytes]
DEBUG    | 2026-04-06 01:37:23,484 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429787,"pa...r_index":0,"cars":[]}}}' [6136 bytes]
DEBUG    | 2026-04-06 01:37:23,504 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429788,"pa...r_index":0,"cars":[]}}}' [6156 bytes]
DEBUG    | 2026-04-06 01:37:23,524 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429789,"pa...r_index":0,"cars":[]}}}' [6159 bytes]
DEBUG    | 2026-04-06 01:37:23,544 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429790,"pa...r_index":0,"cars":[]}}}' [6142 bytes]
DEBUG    | 2026-04-06 01:37:23,563 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429791,"pa...r_index":0,"cars":[]}}}' [6155 bytes]
DEBUG    | 2026-04-06 01:37:23,583 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429792,"pa...r_index":0,"cars":[]}}}' [6170 bytes]
DEBUG    | 2026-04-06 01:37:23,602 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429793,"pa...r_index":0,"cars":[]}}}' [6177 bytes]
DEBUG    | 2026-04-06 01:37:23,623 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429794,"pa...r_index":0,"cars":[]}}}' [6147 bytes]
DEBUG    | 2026-04-06 01:37:23,642 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429795,"pa...r_index":0,"cars":[]}}}' [6166 bytes]
DEBUG    | 2026-04-06 01:37:23,663 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429796,"pa...r_index":0,"cars":[]}}}' [6154 bytes]
DEBUG    | 2026-04-06 01:37:23,682 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429797,"pa...r_index":0,"cars":[]}}}' [6154 bytes]
DEBUG    | 2026-04-06 01:37:23,701 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429798,"pa...r_index":0,"cars":[]}}}' [6164 bytes]
DEBUG    | 2026-04-06 01:37:23,722 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429799,"pa...r_index":0,"cars":[]}}}' [6148 bytes]
DEBUG    | 2026-04-06 01:37:23,742 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429800,"pa...r_index":0,"cars":[]}}}' [6153 bytes]
DEBUG    | 2026-04-06 01:37:23,760 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429801,"pa...r_index":0,"cars":[]}}}' [6146 bytes]
DEBUG    | 2026-04-06 01:37:23,780 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429802,"pa...r_index":0,"cars":[]}}}' [6152 bytes]
DEBUG    | 2026-04-06 01:37:23,800 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429803,"pa...r_index":0,"cars":[]}}}' [6135 bytes]
DEBUG    | 2026-04-06 01:37:23,819 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429804,"pa...r_index":0,"cars":[]}}}' [6118 bytes]
DEBUG    | 2026-04-06 01:37:23,842 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429805,"pa...r_index":0,"cars":[]}}}' [6132 bytes]
DEBUG    | 2026-04-06 01:37:23,861 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429806,"pa...r_index":0,"cars":[]}}}' [6139 bytes]
DEBUG    | 2026-04-06 01:37:23,880 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429807,"pa...r_index":0,"cars":[]}}}' [6139 bytes]
DEBUG    | 2026-04-06 01:37:23,900 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429808,"pa...r_index":0,"cars":[]}}}' [6136 bytes]
DEBUG    | 2026-04-06 01:37:23,919 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429809,"pa...r_index":0,"cars":[]}}}' [6146 bytes]
DEBUG    | 2026-04-06 01:37:23,940 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429810,"pa...r_index":0,"cars":[]}}}' [6157 bytes]
DEBUG    | 2026-04-06 01:37:23,960 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429811,"pa...r_index":0,"cars":[]}}}' [6148 bytes]
DEBUG    | 2026-04-06 01:37:23,980 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429812,"pa...r_index":0,"cars":[]}}}' [6149 bytes]
DEBUG    | 2026-04-06 01:37:24,000 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429813,"pa...r_index":0,"cars":[]}}}' [6136 bytes]
DEBUG    | 2026-04-06 01:37:24,021 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429814,"pa...r_index":0,"cars":[]}}}' [6151 bytes]
DEBUG    | 2026-04-06 01:37:24,042 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429815,"pa...r_index":0,"cars":[]}}}' [6137 bytes]
DEBUG    | 2026-04-06 01:37:24,062 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429816,"pa...r_index":0,"cars":[]}}}' [6143 bytes]
DEBUG    | 2026-04-06 01:37:24,081 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429817,"pa...r_index":0,"cars":[]}}}' [6132 bytes]
DEBUG    | 2026-04-06 01:37:24,101 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429818,"pa...r_index":0,"cars":[]}}}' [6135 bytes]
DEBUG    | 2026-04-06 01:37:24,121 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429819,"pa...r_index":0,"cars":[]}}}' [6137 bytes]
DEBUG    | 2026-04-06 01:37:24,141 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429820,"pa...r_index":0,"cars":[]}}}' [6146 bytes]
DEBUG    | 2026-04-06 01:37:24,162 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429821,"pa...r_index":0,"cars":[]}}}' [6143 bytes]
DEBUG    | 2026-04-06 01:37:24,182 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429822,"pa...r_index":0,"cars":[]}}}' [6147 bytes]
DEBUG    | 2026-04-06 01:37:24,201 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429823,"pa...r_index":0,"cars":[]}}}' [6148 bytes]
INFO     | 2026-04-06 01:37:24,218 | uvicorn.access | 127.0.0.1:52783 - "GET /status HTTP/1.1" 200
DEBUG    | 2026-04-06 01:37:24,220 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429824,"pa...r_index":0,"cars":[]}}}' [6128 bytes]
DEBUG    | 2026-04-06 01:37:24,241 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429825,"pa...r_index":0,"cars":[]}}}' [6154 bytes]
DEBUG    | 2026-04-06 01:37:24,261 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429826,"pa...r_index":0,"cars":[]}}}' [6151 bytes]
DEBUG    | 2026-04-06 01:37:24,280 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429827,"pa...r_index":0,"cars":[]}}}' [6137 bytes]
DEBUG    | 2026-04-06 01:37:24,300 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429828,"pa...r_index":0,"cars":[]}}}' [6127 bytes]
DEBUG    | 2026-04-06 01:37:24,320 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429829,"pa...r_index":0,"cars":[]}}}' [6126 bytes]
DEBUG    | 2026-04-06 01:37:24,341 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429830,"pa...r_index":0,"cars":[]}}}' [6144 bytes]
DEBUG    | 2026-04-06 01:37:24,361 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429831,"pa...r_index":0,"cars":[]}}}' [6148 bytes]
DEBUG    | 2026-04-06 01:37:24,380 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429832,"pa...r_index":0,"cars":[]}}}' [6142 bytes]
DEBUG    | 2026-04-06 01:37:24,400 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429833,"pa...r_index":0,"cars":[]}}}' [6143 bytes]
DEBUG    | 2026-04-06 01:37:24,420 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429834,"pa...r_index":0,"cars":[]}}}' [6136 bytes]
DEBUG    | 2026-04-06 01:37:24,439 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429835,"pa...r_index":0,"cars":[]}}}' [6142 bytes]
DEBUG    | 2026-04-06 01:37:24,457 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429836,"pa...r_index":0,"cars":[]}}}' [6143 bytes]
DEBUG    | 2026-04-06 01:37:24,476 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429837,"pa...r_index":0,"cars":[]}}}' [6144 bytes]
DEBUG    | 2026-04-06 01:37:24,495 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429838,"pa...r_index":0,"cars":[]}}}' [6139 bytes]
DEBUG    | 2026-04-06 01:37:24,514 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429839,"pa...r_index":0,"cars":[]}}}' [6154 bytes]
DEBUG    | 2026-04-06 01:37:24,533 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429840,"pa...r_index":0,"cars":[]}}}' [6140 bytes]
DEBUG    | 2026-04-06 01:37:24,553 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429841,"pa...r_index":0,"cars":[]}}}' [6130 bytes]
DEBUG    | 2026-04-06 01:37:24,572 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429842,"pa...r_index":0,"cars":[]}}}' [6158 bytes]
DEBUG    | 2026-04-06 01:37:24,592 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429843,"pa...r_index":0,"cars":[]}}}' [6130 bytes]
DEBUG    | 2026-04-06 01:37:24,611 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429844,"pa...r_index":0,"cars":[]}}}' [6154 bytes]
DEBUG    | 2026-04-06 01:37:24,631 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429845,"pa...r_index":0,"cars":[]}}}' [6135 bytes]
DEBUG    | 2026-04-06 01:37:24,650 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429846,"pa...r_index":0,"cars":[]}}}' [6141 bytes]
DEBUG    | 2026-04-06 01:37:24,668 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429847,"pa...r_index":0,"cars":[]}}}' [6156 bytes]
DEBUG    | 2026-04-06 01:37:24,688 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429848,"pa...r_index":0,"cars":[]}}}' [6144 bytes]
DEBUG    | 2026-04-06 01:37:24,708 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429849,"pa...r_index":0,"cars":[]}}}' [6140 bytes]
DEBUG    | 2026-04-06 01:37:24,728 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429850,"pa...r_index":0,"cars":[]}}}' [6152 bytes]
DEBUG    | 2026-04-06 01:37:24,748 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429851,"pa...r_index":0,"cars":[]}}}' [6150 bytes]
DEBUG    | 2026-04-06 01:37:24,768 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429852,"pa...r_index":0,"cars":[]}}}' [6140 bytes]
DEBUG    | 2026-04-06 01:37:24,788 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429853,"pa...r_index":0,"cars":[]}}}' [6148 bytes]
DEBUG    | 2026-04-06 01:37:24,808 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429854,"pa...r_index":0,"cars":[]}}}' [6139 bytes]
DEBUG    | 2026-04-06 01:37:24,828 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429855,"pa...r_index":0,"cars":[]}}}' [6145 bytes]
DEBUG    | 2026-04-06 01:37:24,848 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429856,"pa...r_index":0,"cars":[]}}}' [6138 bytes]
DEBUG    | 2026-04-06 01:37:24,868 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429857,"pa...r_index":0,"cars":[]}}}' [6145 bytes]
DEBUG    | 2026-04-06 01:37:24,886 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429858,"pa...r_index":0,"cars":[]}}}' [6136 bytes]
DEBUG    | 2026-04-06 01:37:24,905 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429859,"pa...r_index":0,"cars":[]}}}' [6138 bytes]
